,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[gemini-embedding-exp-03-07](https://developers.googleblog.com/en/gemini-embedding-text-model-now-available-gemini-api/),99,Unknown,3072,8192,68.32,59.64,79.28,71.82,54.99,5.18,29.16,83.63,65.58,67.71,79.4
1,2,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99,7B,4096,32768,61.47,54.21,70.34,62.24,51.27,0.94,24.77,80.43,64.37,58.69,74.86
2,3,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),-1,7B,3584,32768,62.51,56.0,73.92,61.55,53.36,4.94,25.48,85.13,65.55,60.08,73.98
3,4,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99,560M,1024,514,63.23,55.17,80.13,64.94,51.54,-0.4,22.91,80.86,62.61,57.12,76.81
4,5,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96,7B,4096,32768,60.93,54.0,70.0,60.02,52.57,0.16,24.55,80.29,64.19,59.44,74.79
5,6,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99,7B,4096,4096,60.93,53.83,70.53,61.83,50.48,3.45,22.77,79.94,63.78,58.31,73.33
6,7,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99,Unknown,768,2048,62.13,54.32,70.73,64.64,48.47,4.08,22.8,81.14,61.22,59.68,76.11
7,8,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99,57B,4096,4096,60.5,53.39,68.17,61.55,50.88,2.44,24.43,79.73,62.61,57.54,73.16
8,9,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99,7B,4096,32768,60.28,53.18,70.58,60.31,51.39,-0.62,22.2,81.12,63.82,55.75,74.02
9,10,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),-1,Unknown,512,Unknown,61.1,53.31,70.5,62.95,47.61,-1.89,22.74,79.88,64.07,59.16,74.8
10,11,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),-1,1B,8960,32768,59.47,52.75,62.51,58.32,52.59,0.74,24.02,81.58,62.58,60.78,71.61
11,12,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98,559M,1024,514,60.94,53.0,73.55,62.77,47.24,-3.04,22.36,79.83,61.42,55.1,77.81
12,13,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),-1,Unknown,3072,8191,58.92,51.48,62.17,60.27,47.49,-2.68,22.03,79.17,63.89,59.27,71.68
13,14,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96,7B,4096,32768,59.84,52.91,68.84,59.01,54.33,-1.8,25.19,78.58,63.04,57.93,71.04
14,15,[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1),92,1B,8960,131072,,,60.63,,,0.26,22.66,,,55.12,71.5
15,16,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),92,1B,8960,131072,56.54,50.01,58.56,56.69,50.21,0.21,21.84,78.47,61.37,52.84,69.91
16,17,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),92,7B,4096,32768,56.25,49.64,57.84,57.29,41.38,1.04,18.63,78.94,63.82,56.72,71.1
17,18,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),-1,559M,1024,514,59.63,52.11,76.1,60.84,44.74,-3.48,21.4,78.72,62.02,55.69,72.98
18,19,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),93,494M,896,512,57.05,50.13,64.77,57.57,46.35,-1.5,20.67,77.7,60.59,54.17,70.84
19,20,[bge-m3](https://huggingface.co/BAAI/bge-m3),98,568M,4096,8194,59.54,52.28,79.11,60.35,41.79,-3.11,20.1,80.76,62.79,54.59,74.12
20,21,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99,572M,1024,8194,58.37,50.75,65.25,58.77,46.4,-1.34,18.38,79.27,57.09,55.76,77.13
21,22,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99,305M,1024,8192,58.03,51.35,71.79,57.17,44.96,-0.74,19.82,80.49,60.72,55.11,72.85
22,23,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98,278M,768,514,58.22,50.69,69.98,59.36,45.42,-3.84,20.68,77.44,59.41,52.96,74.84
23,24,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99,560M,1024,514,58.55,51.33,71.67,59.92,42.87,-3.05,21.3,78.99,62.78,54.08,73.41
24,25,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),93,494M,896,512,56.36,49.36,64.22,57.38,46.62,-2.6,21.62,77.47,58.17,50.84,70.54
25,26,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),-1,Unknown,384,512,57.58,50.37,65.03,58.51,45.56,-2.45,20.09,77.0,61.98,55.79,71.8
26,27,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),92,7B,4096,32768,54.86,48.39,48.9,57.04,43.36,3.02,18.95,76.19,64.29,53.98,69.77
27,28,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),98,567M,1024,8194,57.83,50.67,72.16,58.73,41.19,-2.5,19.56,78.51,60.37,53.26,74.69
28,29,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),-1,Unknown,1536,8191,54.28,47.52,50.32,55.16,46.78,-2.38,19.92,76.64,59.54,52.24,69.42
29,30,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),98,117M,384,512,57.01,49.78,69.48,58.06,44.58,-3.36,19.17,77.07,59.31,49.55,74.14
30,31,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),99,568M,1024,8192,57.02,50.04,64.08,57.39,43.58,-2.47,18.94,76.71,63.67,58.36,70.11
31,32,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100,Unknown,512,32000,,,60.12,57.93,45.69,-1.17,,75.07,60.29,58.6,68.2
32,33,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),99,278M,768,514,57.01,49.92,69.44,58.21,42.67,-2.65,20.16,77.15,60.18,52.72,71.44
33,34,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100,Unknown,1024,32000,,,60.07,,,1.35,,76.18,63.36,66.13,68.52
34,35,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),-1,7B,4096,32768,,,60.8,,52.98,5.36,23.45,,,,
35,36,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),99,118M,384,512,55.5,48.81,67.47,56.52,41.77,-2.45,19.16,76.72,60.39,49.33,70.4
36,37,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),99,305M,768,8192,53.71,46.98,53.73,54.38,43.02,-3.34,17.04,74.86,61.67,54.83,66.6
37,38,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),97,359M,1024,8194,51.68,45.39,63.38,53.19,41.02,-2.65,18.6,80.62,51.53,43.3,59.53
38,39,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),-1,470M,768,512,53.68,47.3,70.33,55.08,40.67,-1.77,19.95,80.8,51.59,36.98,72.09
39,40,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),-1,Unknown,1024,512,48.19,41.85,31.39,50.31,43.09,-0.17,17.19,74.07,50.68,45.41,64.72
40,41,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),96,278M,768,512,53.76,47.31,58.48,54.09,42.3,-1.77,17.67,75.71,59.89,52.2,67.27
41,42,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),-1,559M,1024,514,52.66,46.04,60.89,56.67,41.32,1.38,19.32,83.35,48.31,31.72,71.4
42,43,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),92,435M,4096,8192,48.39,42.18,39.24,49.2,46.82,-0.7,18.22,74.51,46.49,42.58,63.23
43,44,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100,278M,768,512,52.01,45.27,52.06,55.06,41.08,-1.14,16.4,81.15,53.37,39.76,69.66
44,45,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100,278M,768,514,52.02,45.44,55.9,54.64,39.27,-1.05,14.99,81.16,54.27,38.47,71.29
45,46,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),-1,7B,Unknown,32768,,,19.54,57.32,42.7,-0.09,,74.82,48.85,,65.49
46,47,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100,471M,768,512,52.1,45.77,76.35,54.6,39.16,-3.0,20.12,75.97,50.2,33.17,65.35
47,48,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),96,107M,384,512,51.84,45.57,54.08,52.57,41.3,-2.96,17.33,75.29,58.48,48.08,65.98
48,49,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100,335M,1024,512,46.16,39.7,26.84,49.66,42.63,-2.14,17.17,72.82,48.35,41.21,60.75
49,50,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100,335M,1024,514,46.69,40.4,33.8,49.8,40.58,-0.99,15.85,73.92,48.76,40.06,61.87
50,51,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100,335M,1024,512,45.98,39.53,25.74,49.74,43.25,-1.95,18.1,72.56,47.6,40.3,60.46
51,52,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),96,335M,1024,512,45.82,39.6,25.64,48.18,43.18,-1.81,17.54,72.28,47.08,40.41,63.92
52,53,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),99,559M,1024,514,45.49,38.04,26.86,52.05,43.71,-3.39,17.08,73.41,39.82,33.33,59.49
53,54,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),96,Unknown,768,8192,45.74,39.2,28.37,49.39,41.55,-3.25,17.8,71.66,46.01,37.05,64.25
54,55,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),96,Unknown,768,8192,45.97,39.27,28.6,49.24,41.16,-3.75,17.36,72.07,45.04,40.74,62.99
55,56,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100,109M,768,512,46.03,39.41,30.95,49.46,40.84,-3.94,16.06,72.63,47.5,40.49,60.73
56,57,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),99,335M,1024,512,45.14,39.14,26.65,48.02,42.16,-2.29,17.67,72.04,48.84,39.0,60.14
57,58,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100,Unknown,1024,32000,,,64.5,,,,,75.8,,,68.58
58,59,[e5-large](https://huggingface.co/intfloat/e5-large),100,335M,1024,512,45.65,39.29,30.56,48.16,41.38,-2.33,16.31,73.48,44.19,38.5,63.32
59,60,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100,117M,384,512,49.73,43.23,48.68,53.1,38.61,-1.19,14.91,79.57,51.13,35.06,69.24
60,61,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),98,7B,4096,32768,,,,57.24,42.2,-0.85,,76.8,55.46,43.07,67.87
61,62,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100,118M,768,512,48.78,42.48,44.56,51.66,39.34,-1.31,14.93,78.99,50.97,36.61,66.58
62,63,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),-1,Unknown,384,512,45.89,39.54,26.1,48.89,41.01,-1.39,16.42,72.04,48.03,41.78,63.02
63,64,[gte-large](https://huggingface.co/thenlper/gte-large),-1,335M,1024,512,45.28,39.44,26.23,47.61,42.14,-1.29,17.91,71.74,48.87,38.23,63.47
64,65,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),84,278M,768,514,48.55,42.51,47.63,51.02,33.56,-1.96,16.63,78.71,50.01,34.66,72.37
65,66,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),96,109M,768,512,45.07,38.64,24.38,47.88,42.94,-3.35,16.71,71.7,45.64,38.45,63.41
66,67,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),96,Unknown,768,8192,45.65,39.28,27.41,49.0,39.93,-2.15,16.38,71.7,48.18,40.66,62.43
67,68,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),-1,Unknown,Unknown,512,44.73,38.07,25.09,48.64,42.16,-3.27,15.82,71.74,43.86,35.28,63.31
68,69,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),-1,33M,384,512,44.95,38.23,23.12,49.21,41.52,-2.53,16.9,71.73,43.59,37.81,62.7
69,70,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100,Unknown,Unknown,4096,45.08,38.14,27.86,50.17,38.86,-2.92,15.71,72.93,42.47,36.78,61.38
70,71,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),99,278M,768,514,44.22,36.44,23.55,52.28,42.82,-3.32,16.01,72.39,36.07,30.79,57.37
71,72,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),99,109M,768,512,44.58,38.21,23.67,47.99,42.05,-3.98,16.37,71.69,47.57,38.61,59.97
72,73,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),96,33M,384,512,44.27,37.87,23.36,47.57,41.11,-2.75,16.79,71.54,43.25,37.22,62.71
73,74,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100,Unknown,1024,16000,,,46.93,,,,,77.82,,,70.13
74,75,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),96,137M,768,8192,44.17,37.93,27.09,48.51,40.52,-1.85,16.79,71.9,44.84,34.09,59.45
75,76,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100,434M,1024,514,42.61,35.8,25.25,48.39,41.87,-3.58,16.8,73.86,35.94,31.75,51.93
76,77,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100,118M,384,256,45.92,39.59,39.5,49.82,36.32,-3.97,14.22,77.8,46.33,26.99,69.32
77,78,[gte-base](https://huggingface.co/thenlper/gte-base),-1,109M,768,512,44.46,38.39,25.3,47.19,42.11,-2.45,16.15,71.37,46.94,35.86,63.09
78,79,[e5-base](https://huggingface.co/intfloat/e5-base),100,109M,768,512,44.6,38.04,29.55,47.77,39.43,-3.49,16.14,71.82,41.49,37.69,61.94
79,80,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100,33M,384,512,44.49,38.03,28.04,48.07,38.06,-2.85,15.14,72.13,44.44,39.38,59.87
80,81,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),99,108M,1024,Unknown,47.28,41.52,50.62,48.6,31.96,-1.24,14.74,74.34,49.45,41.21,64.02
81,82,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),97,1B,2048,2048,45.74,39.69,31.88,49.58,39.94,-1.19,15.65,72.97,51.45,37.27,59.68
82,83,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),97,1B,2048,2048,45.5,39.6,30.26,49.25,40.86,-0.08,16.06,72.54,51.37,38.35,57.75
83,84,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),99,33M,512,512,43.81,37.79,23.63,47.37,40.55,-1.86,17.01,71.56,45.89,36.26,59.73
84,85,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),97,1B,2048,2048,45.53,39.45,32.22,49.88,40.84,-0.35,15.32,72.25,50.93,36.48,57.48
85,86,[gte-small](https://huggingface.co/thenlper/gte-small),-1,33M,384,512,44.15,38.09,23.94,47.28,40.9,-1.57,16.27,71.44,45.77,35.99,62.77
86,87,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),99,117M,384,512,43.18,35.65,21.19,50.72,41.62,-4.4,16.59,73.71,34.88,31.05,55.46
87,88,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),98,33M,384,512,43.4,37.34,22.96,47.34,40.87,-1.68,16.74,71.33,45.01,35.16,58.33
88,89,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),96,125M,768,512,44.1,38.17,26.56,46.98,41.11,-1.29,16.84,70.97,45.99,39.26,57.08
89,90,[e5-small](https://huggingface.co/intfloat/e5-small),100,33M,384,512,43.49,37.25,28.07,46.57,36.98,-1.45,15.22,72.96,39.3,36.25,61.37
90,91,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100,124M,768,514,41.59,34.78,23.4,47.44,40.85,-3.44,15.03,73.24,34.44,30.39,51.69
91,92,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100,335M,1024,512,43.4,37.24,22.56,47.11,39.79,-1.49,16.02,71.58,44.27,39.66,55.64
92,93,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),-1,22M,384,512,43.57,37.13,22.85,48.44,38.13,-2.22,15.63,71.53,44.07,34.42,61.32
93,94,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),96,137M,768,2048,43.29,36.97,22.76,47.07,39.0,-1.89,16.32,71.67,41.66,39.3,56.87
94,95,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),-1,Unknown,4096,Unknown,44.58,37.1,29.88,53.07,32.56,-3.02,13.26,72.35,43.5,35.27,57.04
95,96,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),96,22M,384,512,42.74,36.54,22.75,46.49,38.9,-1.94,15.05,71.31,41.45,33.3,61.52
96,97,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100,129M,768,512,44.67,39.2,53.59,46.78,37.08,-3.52,17.9,74.25,42.81,31.8,52.06
97,98,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100,109M,768,384,42.53,36.19,21.16,47.23,40.77,-3.08,16.28,70.69,42.23,32.81,57.6
98,99,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100,109M,768,512,42.91,36.53,22.04,46.9,39.12,-2.34,14.85,70.88,42.76,39.33,55.25
99,100,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),-1,Unknown,768,514,,,26.73,,42.66,-2.76,15.5,,38.13,,
100,101,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100,33M,384,256,42.21,36.24,22.91,47.09,36.84,-0.75,14.59,71.43,44.33,32.5,57.2
101,102,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100,32M,384,512,42.89,36.41,22.78,46.33,37.39,-3.09,14.84,71.53,40.03,39.84,58.08
102,103,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),-1,19M,384,512,41.57,34.73,20.46,47.97,36.53,-3.83,14.69,71.73,37.48,30.54,57.01
103,104,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100,129M,768,512,43.25,38.17,59.29,45.54,36.39,-3.69,18.81,72.38,40.87,27.15,46.77
104,105,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100,109M,768,512,42.04,35.63,20.11,46.99,38.2,-3.42,15.78,70.47,42.37,38.69,51.51
105,106,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),-1,17M,384,512,41.74,35.07,20.45,47.83,35.65,-3.22,14.37,71.94,39.06,29.88,59.72
